time=2025-06-12T16:44:23.241+05:30 level=INFO msg="Server starting on :8080"
time=2025-06-12T16:44:34.162+05:30 level=INFO msg="received request" method=GET path=/add ip=[::1]:55531
time=2025-06-12T16:44:54.281+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55544
time=2025-06-12T16:45:04.787+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55546
time=2025-06-12T16:45:04.787+05:30 level=ERROR msg="invalid operator" op=addi
time=2025-06-12T16:55:38.557+05:30 level=INFO msg="Server starting on :8080"
time=2025-06-12T16:55:47.071+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55899
time=2025-06-12T16:55:47.071+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.096+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55900
time=2025-06-12T16:55:47.096+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.114+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55901
time=2025-06-12T16:55:47.114+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.133+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55902
time=2025-06-12T16:55:47.133+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.151+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55903
time=2025-06-12T16:55:47.151+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.170+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55904
time=2025-06-12T16:55:47.170+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.189+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55905
time=2025-06-12T16:55:47.189+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.223+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55906
time=2025-06-12T16:55:47.223+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.250+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55907
time=2025-06-12T16:55:47.250+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:55:47.268+05:30 level=INFO msg="received request" method=POST path=/calculate ip=[::1]:55908
time=2025-06-12T16:55:47.268+05:30 level=ERROR msg="Invalid method" method=POST path=/calculate
time=2025-06-12T16:56:04.005+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55912
time=2025-06-12T16:56:04.030+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55913
time=2025-06-12T16:56:04.054+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55914
time=2025-06-12T16:56:04.074+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55915
time=2025-06-12T16:56:04.091+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55916
time=2025-06-12T16:56:04.110+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55917
time=2025-06-12T16:56:04.128+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55918
time=2025-06-12T16:56:04.145+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55919
time=2025-06-12T16:56:04.165+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55920
time=2025-06-12T16:56:04.182+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55921
time=2025-06-12T16:56:28.811+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55925
time=2025-06-12T16:56:28.835+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55926
time=2025-06-12T16:56:28.852+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55927
time=2025-06-12T16:56:28.867+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55928
time=2025-06-12T16:56:28.882+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55929
time=2025-06-12T16:56:28.895+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55930
time=2025-06-12T16:56:28.908+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55931
time=2025-06-12T16:56:28.920+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55932
time=2025-06-12T16:56:28.934+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55933
time=2025-06-12T16:56:28.946+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55934
time=2025-06-12T16:56:28.959+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55935
time=2025-06-12T16:56:28.973+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55936
time=2025-06-12T16:56:28.988+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55937
time=2025-06-12T16:56:29.006+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55938
time=2025-06-12T16:56:29.025+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55939
time=2025-06-12T16:56:29.061+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55940
time=2025-06-12T16:56:29.086+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55941
time=2025-06-12T16:56:29.112+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55942
